,Name,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,Total_VBur,SW_VBur,NW_VBur,NE_VBur,SE_VBur,N_AVG,S_AVG,Phenylene_backbone,Pd-O Distance,Alkoxy,Charge,%Filled_x,%Filled_y,Weighted %Filled
0,c-n-1,84.0,2.097218972465441,2.050283222092499,0.33113,0.24361,-0.86651,0.15855,1.11012,0.0469357503729419,49.3,58.7,38.2,43.7,56.5,49.28,57.6,1,0.0,0,0,30.089628681177977,49.29577464788732,1.5050130377075883
1,c-n-2,90.0,2.1396459693879266,2.157782033035543,0.37354,0.21914,-0.37519,0.1767999999999999,0.59433,-0.0181360636476162,49.5,47.1,47.3,44.8,58.9,49.52,53.0,0,0.0,0,1,29.833546734955185,41.83098591549296,1.3847082886544413
2,c-n-3,84.0,2.1044800843196403,2.206040348620577,0.38173,0.24008,-0.40066,0.16879,0.64074,-0.1015602643009372,51.4,59.9,45.1,45.6,55.0,51.4,57.45,1,0.0,0,1,30.85787451984635,42.25352112676056,1.2702158453916068
3,c-o-1,87.0,2.080869116981892,2.0279014280543817,0.39489,0.32829,-0.64436,0.14873,0.97265,0.0529676889275103,42.5,29.0,33.2,41.2,66.3,42.44,47.65,1,0.0,0,0,17.797695262483995,35.28169014084507,1.1251944660447408
4,c-o-2,81.0,2.117489529622756,2.134671318842786,0.46711,0.2329,-1.07081,0.17127,1.30371,-0.0171817892200301,48.0,36.3,32.8,54.8,68.2,48.02,52.25,1,0.0,0,1,17.797695262483995,28.732394366197184,1.4704047470793844
5,c-o-3,88.0,2.148634355965202,2.078817506434608,0.44561,0.18737,-1.06803,0.15833,1.2554,0.0698168495305942,53.0,51.8,30.0,65.6,64.7,53.02,58.25,1,0.0,0,1,18.950064020486554,32.95774647887324,1.825957011230389
6,c-o-4,88.0,2.094222147168251,2.0222891963557044,0.39713,0.32129,-0.64348,0.14942,0.96477,0.0719329508125468,47.7,33.6,32.5,55.5,69.1,47.68,51.35,1,0.0,0,0,17.797695262483995,38.59154929577465,2.1657250460517954
7,c-o-5,92.0,2.1296898781092515,2.085629037901755,0.40323,0.22345,-0.93299,0.17407,1.15644,0.0440608402074964,47.2,31.0,45.9,70.5,41.3,47.18,36.15,1,0.0,0,0,17.6696542893726,37.46478873239437,1.7734225875548055
8,c-o-6,88.0,2.0823953817260548,2.0227171981475807,0.36912,0.22004,-0.63178,0.15417,0.85182,0.0596781835784741,46.6,29.0,29.2,62.0,66.2,46.6,47.6,1,0.0,0,0,17.797695262483995,39.014084507042256,2.2092029286142103
9,c-o-7,89.0,2.0804378562093606,2.0204665882676704,0.38297,0.21746,-0.6308,0.15485,0.84826,0.0599712679416901,40.0,28.9,29.4,49.7,52.2,40.04,40.55,1,0.0,0,0,17.797695262483995,39.57746478873239,1.0158769102177394
10,c-o-8,88.0,2.08482599793412,2.019187835816668,0.38514,0.21607,-0.64047,0.1542,0.85654,0.0656381621174522,42.2,39.9,27.9,52.9,48.2,42.22,44.05,1,0.0,0,0,18.053777208706787,38.028169014084504,0.9986202777857095
11,c-p-1,80.0,2.0160894066494173,2.4172853006083086,0.16741,0.32566,1.05174,0.1848,-0.7260799999999998,-0.4011958939588913,45.7,60.3,38.5,40.6,43.3,45.68,51.8,1,0.0,0,1,25.224071702944943,48.098591549295776,1.0137036264045198
12,c-s-1,92.0,2.556284151584288,2.00545540592081,0.20202,0.39568,0.31677,0.18373,0.0789099999999999,0.5508287456634777,48.3,47.9,52.9,35.7,56.8,48.32,52.35,1,0.0,0,1,27.272727272727273,44.50704225352113,1.3803581357332761
13,n-o-1,91.0,2.128393461226096,2.020788870659179,0.49887,-0.5005,-0.61144,0.14856,0.11094,0.1076045905669169,40.8,29.7,29.6,52.1,51.8,40.85,40.75,1,0.0,1,0,17.797695262483995,33.87323943661972,0.9584183747600349
14,n-o-2,90.0,2.125028111193591,2.016331494113257,0.50126,-0.5,-0.64676,0.1516,0.14676,0.108696617080334,41.2,32.4,33.8,49.9,48.8,41.85,40.6,1,0.0,0,0,22.02304737516005,33.38028169014085,0.7650325422429881
15,n-o-3,90.0,2.145978553097165,2.0176778266824464,0.50082,-0.49104,-0.64588,0.14848,0.15484,0.1283007264147184,36.8,32.5,33.8,44.2,36.5,39.0,34.5,1,0.0,0,0,21.76696542893726,33.80281690140845,0.6878662353622734
16,n-o-4,90.0,2.124362830888358,2.016471663253913,0.50198,-0.49736,-0.64699,0.15178,0.1496299999999999,0.1078911676344458,41.1,32.4,33.8,49.7,48.8,41.75,40.6,1,0.0,0,0,21.638924455825865,33.38028169014085,0.7565545065970073
17,n-o-5,90.0,2.1456605128551907,2.017872192727032,0.50118,-0.49133,-0.64592,0.14842,0.15459,0.1277883201281584,36.7,32.3,34.1,43.7,36.7,38.9,34.5,1,0.0,0,0,21.382842509603073,33.521126760563384,0.6820977924250152
18,n-o-6,90.0,2.121520565758909,2.0173828209710223,0.50931,-0.50209,-0.65043,0.15179,0.1483399999999999,0.1041377447878866,42.5,32.7,33.3,51.6,52.4,42.45,42.55,1,0.0,0,0,22.279129321382843,33.521126760563384,0.9784542923594873
19,p-n-1,83.0,2.372977445422312,2.184907960642965,0.32789,1.0614,-0.40603,0.15456,1.4674299999999998,0.1880694847793464,46.3,46.5,48.3,43.7,46.6,46.0,46.55,1,0.0,0,1,19.590268886043535,22.535211267605632,0.666787802575277
20,p-n-2,84.0,2.391039460424901,2.1687832581844133,0.32282,1.0414,-0.40735,0.1609899999999999,1.44875,0.2222562022404872,53.2,49.8,50.5,56.5,56.1,53.5,52.95,1,0.0,0,1,29.577464788732396,41.056338028169016,1.1562918759743426
21,p-n-3,84.0,2.3715484284679915,2.166068920550775,0.30342,1.07813,-0.40627,0.16038,1.4844,0.2054795079172167,50.2,49.3,48.6,52.3,50.7,50.45,50.0,1,0.0,0,1,17.02944942381562,25.422535211267604,0.7686315874179511
22,p-n-4,84.0,2.3851372281841563,2.168653585974948,0.3094,1.06744,-0.41019,0.15917,1.47763,0.2164836422092086,55.2,50.4,49.6,55.6,65.1,52.6,57.75,1,0.0,0,1,27.91293213828425,35.84507042253521,1.487578254894303
23,p-o-10,81.0,2.4331538786110505,2.110127329992672,0.36801,1.00929,-0.55214,0.1561199999999999,1.56143,0.3230265486183792,40.8,33.5,29.7,52.1,47.9,40.8,40.7,1,0.0,0,1,14.340588988476313,6.47887323943662,0.4109721667663831
24,p-o-11,79.0,2.4229682064686693,2.0844271717695007,0.35681,1.19182,-0.57516,0.16769,1.7669800000000002,0.3385410346991686,42.0,31.8,30.6,51.6,54.0,42.0,42.9,1,0.0,0,1,16.389244558258643,12.253521126760564,0.5252480022832208
25,p-o-12,82.0,2.3952647070998228,2.0359406119425487,0.33238,1.02724,-0.66221,0.14286,1.68945,0.359324095157274,36.8,31.7,30.9,42.9,41.6,36.78,36.65,1,0.0,0,0,8.450704225352112,8.098591549295774,0.2098844846470146
26,p-o-13,94.0,2.45425545142534,2.0942185379842764,0.39753,0.99502,-1.03531,0.1555099999999999,2.03033,0.3600369134410632,48.7,30.1,49.6,64.5,50.5,48.68,40.3,1,3.18,1,1,13.82842509603073,26.619718309859156,1.2470677405678885
27,p-o-14,82.0,2.4029859553798896,2.037080594813568,0.35893,1.03013,-0.66832,0.13988,1.69845,0.3659053605663214,39.6,38.3,30.4,44.8,44.9,39.6,41.6,1,3.78,1,0,13.572343149807939,16.830985915492956,0.37920900454197587
28,p-o-15,95.0,2.4707708078662414,2.096151028059285,0.41245,0.98692,-1.04122,0.1580299999999999,2.02814,0.3746197798069559,53.5,38.1,48.2,64.1,63.8,53.54,50.95,1,2.97,1,1,11.139564660691422,26.619718309859156,2.150628733087808
29,p-o-16,82.0,2.4269191935600163,2.095629371991622,0.40767,1.01914,-1.05426,0.1544799999999999,2.0734,0.3312898215683941,49.6,36.0,58.8,60.6,43.0,49.6,39.5,1,3.31,1,1,19.46222791293214,17.253521126760564,1.307506595581885
30,p-o-17,91.0,2.433405596129219,2.08063793941786,0.3748,1.00378,-1.05626,0.16069,2.06004,0.3527676567113587,43.4,44.5,30.9,48.9,49.3,43.4,46.9,1,0.0,0,1,12.93213828425096,20.211267605633804,0.5160921778669887
31,p-o-18,99.0,2.425177989946924,2.348823068993065,0.12577,1.03226,-0.3659,0.16375,1.3981599999999998,0.0763549209538587,49.1,50.6,35.5,54.3,56.1,49.12,53.35,1,0.0,0,1,18.437900128040972,44.436619718309856,0.9715905188710835
32,p-o-19,90.0,2.438963304490455,2.089833815937048,0.40276,1.00065,-1.06242,0.16031,2.06307,0.3491294885534075,49.0,28.9,60.2,55.4,51.5,49.0,40.2,1,0.0,0,1,19.206145966709347,24.43661971830986,1.26932556645288
33,p-o-20,82.0,2.418041319395928,2.0890977309561176,0.37544,1.02492,-1.07788,0.15694,2.1028,0.3289435884398104,46.6,60.9,34.2,44.6,46.7,46.6,53.8,1,0.0,0,1,20.998719590268887,21.267605633802816,0.8830521038236867
34,p-o-21,94.0,2.457614088075669,2.0873863047232057,0.37379,0.97179,-1.03054,0.16365,2.00233,0.3702277833524632,45.8,30.3,49.0,50.1,53.8,45.8,42.05,1,0.0,0,1,17.797695262483995,31.549295774647888,0.7730249195651782
35,p-o-22,84.0,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943,2.08581,0.3393460039173996,48.6,61.4,30.2,50.9,51.9,48.6,56.65,1,0.0,0,1,22.279129321382843,29.43661971830986,1.1478364900137188
36,p-o-23,84.0,2.4561195115476364,2.105394680174955,0.40667,1.01114,-1.08443,0.16091,2.09557,0.3507248313726814,47.9,44.7,48.5,41.0,57.6,47.94,51.15,1,2.96,1,1,17.6696542893726,18.732394366197184,1.0478268061606333
37,p-o-24,83.0,2.488909961399368,2.1015685592114286,0.38963,0.97443,-1.08151,0.16705,2.05594,0.3873414021879386,52.8,49.3,44.0,60.8,56.9,52.76,53.1,1,0.0,0,1,5.633802816901408,3.5211267605633805,1.2075237125010794
38,p-o-25,84.0,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943,2.08581,0.3393460039173996,48.6,61.4,30.2,50.9,51.9,48.6,56.65,1,0.0,0,1,22.279129321382843,29.43661971830986,1.1478364900137188
39,p-o-26,84.0,2.46550749978762,2.113807611607783,0.36603,0.99437,-1.07874,0.16461,2.07311,0.3516998881798368,49.5,54.7,34.9,54.2,54.3,49.52,54.5,1,0.0,0,1,18.56594110115237,11.408450704225352,0.8958185600241327
40,p-o-27,84.0,2.46527026481094,2.1040897340277573,0.36107,1.0056,-1.03106,0.16583,2.0366600000000004,0.3611805307831828,44.8,41.1,34.3,51.6,52.1,44.78,46.6,1,0.0,0,1,16.389244558258643,14.71830985915493,0.5750370442253445
41,p-o-28,86.0,2.525246712803128,2.10347000721118,0.35177,0.96683,-1.03532,0.16658,2.00215,0.4217767055919474,50.8,42.0,27.6,66.3,67.4,50.82,54.7,1,0.0,0,1,17.285531370038413,23.098591549295776,1.8790159107903062
42,p-o-29,82.0,2.439642023985486,2.08295496239573,0.41404,1.03921,-1.0313,0.15406,2.07051,0.3566870615897555,48.0,54.6,27.7,48.8,61.1,48.04,57.85,1,3.28,1,1,11.7797695262484,14.154929577464788,1.2398516771463863
43,p-o-30,86.0,2.428747058825393,2.0913686027307574,0.42234,1.02754,-1.02527,0.15341,2.05281,0.337378456094636,50.0,57.5,26.2,51.5,65.0,50.04,61.25,1,3.16,1,1,19.334186939820743,18.943661971830984,1.6350951553275934
44,p-o-31,91.0,2.47151179309345,2.0781742266082985,0.38469,0.98327,-1.03189,0.16329,2.01516,0.3933375664851515,46.6,55.7,28.0,48.8,54.0,46.62,54.85,1,0.0,0,1,17.797695262483995,32.32394366197183,1.107984070667552
45,p-o-32,91.0,2.4241599371687506,2.0850203418472923,0.39664,1.01953,-1.02816,0.15099,2.04769,0.3391395953214582,47.1,56.0,27.6,43.5,61.1,47.06,58.55,1,4.28,1,1,14.212548015364916,15.704225352112676,1.658296538445228
46,p-o-33,94.0,2.478742380347946,2.114961555002123,0.39047,0.98983,-1.05257,0.1545,2.0424,0.363780825345823,50.0,34.0,44.5,55.1,66.3,49.98,50.15,1,3.05,1,1,16.901408450704224,28.380281690140844,1.5525975103859257
47,p-o-34,94.0,2.466375924007936,2.111120306706608,0.36471,0.99442,-1.05013,0.1592099999999999,2.04455,0.3552556173013284,43.3,30.4,45.4,48.3,49.0,43.28,39.7,1,0.0,0,1,12.548015364916774,21.549295774647888,0.5338020733873351
48,p-o-35,93.0,2.476919020622798,2.103932515481426,0.36001,0.96714,-1.05409,0.16397,2.02123,0.3729865051413719,48.7,29.2,55.1,57.4,53.1,48.7,41.15,1,0.0,0,1,17.797695262483995,28.943661971830984,1.3915540050158388
49,p-o-36,96.0,2.4908523583755424,2.107972299056608,0.4089,0.97777,-1.05608,0.16148,2.03385,0.3828800593189347,46.3,31.2,45.9,59.5,48.7,46.32,39.95,1,0.0,0,1,17.797695262483995,40.84507042253521,1.0417061404669397
50,p-o-37,91.0,2.4398431274311467,2.0887545487110257,0.37432,0.98841,-1.04631,0.16414,2.03472,0.351088578720121,47.8,54.5,31.3,53.4,51.8,47.76,53.15,1,0.0,0,1,18.950064020486554,21.901408450704224,0.8942347471284062
51,p-o-38,90.0,2.446549106379228,2.081900458650461,0.37824,0.96494,-1.08492,0.1636099999999999,2.04986,0.3646486477287673,52.0,37.5,64.2,56.4,50.1,52.04,43.8,1,0.0,0,1,19.206145966709347,28.52112676056338,1.6145777991690637
52,p-o-39,89.0,2.4383206903500207,2.0773622453748883,0.37939,0.99064,-1.08078,0.16323,2.07142,0.3609584449751324,50.7,37.2,65.8,51.5,48.4,50.72,42.8,1,0.0,0,1,19.206145966709347,26.901408450704224,1.612416940566729
53,p-o-40,90.0,2.421193775730683,2.066431516853632,0.38887,1.00176,-1.09611,0.16103,2.09787,0.3547622588770514,49.8,52.4,45.4,48.6,53.0,49.84,52.7,1,0.0,0,1,15.492957746478874,19.859154929577464,0.6520934578480546
54,p-o-41,93.0,2.4510187326020176,2.0915302005629752,0.41599,0.99942,-1.05388,0.15992,2.0533,0.3594885320390424,50.5,33.7,44.5,59.9,64.0,50.52,48.85,1,3.14,1,1,13.316261203585148,24.718309859154928,1.6770568919397943
55,p-o-42,84.0,2.425285583407653,2.0796102851758067,0.42914,1.01926,-1.07248,0.15593,2.09174,0.3456752982318463,48.9,48.8,30.6,55.3,60.9,48.9,54.85,1,3.27,1,1,14.852752880921894,18.661971830985916,1.3336800573009528
56,p-o-43,91.0,2.4355176810897925,2.0746184182384,0.41279,0.99537,-1.09114,0.1595399999999999,2.08651,0.3608992628513925,57.1,42.9,57.2,65.6,62.7,57.1,52.8,1,3.07,1,1,21.12676056338028,29.718309859154928,2.3035749028690904
57,p-o-44,92.0,2.433349412110599,2.068451707349001,0.37789,1.00058,-1.07341,0.16516,2.07399,0.364897704761598,49.7,33.5,55.8,55.3,54.3,49.72,43.9,1,0.0,0,1,16.77336747759283,19.225352112676056,1.0885854987118955
58,p-o-45,94.0,2.452727173992656,2.092090730562372,0.41164,0.99748,-1.05578,0.1548999999999999,2.05326,0.3606364434302835,50.0,33.6,47.2,61.0,58.4,50.04,46.0,1,2.93,1,1,12.419974391805377,25.91549295774648,1.5956974566697057
59,p-o-8,89.0,2.4433243425196336,2.079455291581428,0.38382,0.99616,-1.05366,0.16143,2.04982,0.3638690509382059,49.6,31.7,65.5,52.9,48.2,49.58,39.95,1,0.0,0,1,14.7247119078105,22.746478873239436,1.5025841358893886
60,p-o-9,94.0,2.4533808845774434,2.0930520605732674,0.37722,0.99476,-1.03273,0.16295,2.02749,0.360328824004176,45.0,29.8,49.9,50.4,49.8,44.98,39.8,1,0.0,0,1,11.267605633802816,20.211267605633804,0.5776518964974574
